longitude,latitude,aver_price,latlon
116.368586,39.910692,175.9,"116.368586,39.910692"
116.333726,39.763334,79.3,"116.333726,39.763334"
116.292805,39.957287,116.5,"116.292805,39.957287"
116.640671,39.901842,64.1,"116.640671,39.901842"
116.345084,39.884248,111.8,"116.345084,39.884248"
116.386269,39.888411,108.3,"116.386269,39.888411"
116.654682,40.125799,47.9,"116.654682,40.125799"
116.523423,39.827384,72.4,"116.523423,39.827384"
116.298736,39.934527,107.9,"116.298736,39.934527"
116.539213,39.809112,96.4,"116.539213,39.809112"
116.471355,39.968418,170.2,"116.471355,39.968418"
116.561128,39.952128,55.3,"116.561128,39.952128"
116.340473,39.886963,104.3,"116.340473,39.886963"
116.360104,39.963352,122.2,"116.360104,39.963352"
116.510441,39.931785,88.2,"116.510441,39.931785"
116.38475,39.948346,119.7,"116.38475,39.948346"
116.360608,40.036507,88.6,"116.360608,40.036507"
116.250662,39.910338,100.0,"116.250662,39.910338"
116.694847,39.921775,50.5,"116.694847,39.921775"
116.338397,39.760335,64.4,"116.338397,39.760335"
116.492039,40.004922,121.6,"116.492039,40.004922"
116.216106,39.907735,66.7,"116.216106,39.907735"
116.386362,40.083951,67.0,"116.386362,40.083951"
116.694847,39.921775,55.2,"116.694847,39.921775"
116.383092,39.844419,84.5,"116.383092,39.844419"
116.477613,39.934452,90.9,"116.477613,39.934452"
116.299198,39.838131,68.6,"116.299198,39.838131"
116.288381,39.824916,127.7,"116.288381,39.824916"
116.252716,40.069106,83.3,"116.252716,40.069106"
116.551758,39.964586,72.4,"116.551758,39.964586"
116.305063,39.91533,135.7,"116.305063,39.91533"
116.45648,39.878722,127.9,"116.45648,39.878722"
116.511954,39.920725,87.2,"116.511954,39.920725"
116.276825,39.901458,62.6,"116.276825,39.901458"
116.481581,39.938271,118.0,"116.481581,39.938271"
116.38894,39.968913,114.0,"116.38894,39.968913"
116.4515,39.904606,91.7,"116.4515,39.904606"
116.341153,39.734779,45.3,"116.341153,39.734779"
116.419162,40.031546,97.5,"116.419162,40.031546"
116.296708,39.856361,75.7,"116.296708,39.856361"
116.67755,39.890698,67.7,"116.67755,39.890698"
116.122491,39.939735,45.9,"116.122491,39.939735"
116.330345,39.984336,137.1,"116.330345,39.984336"
116.378672,40.015247,117.6,"116.378672,40.015247"
116.444565,39.853072,85.0,"116.444565,39.853072"
116.477581,39.953739,118.4,"116.477581,39.953739"
116.15082,39.742294,44.0,"116.15082,39.742294"
116.291708,39.844912,77.6,"116.291708,39.844912"
116.309045,40.083072,63.0,"116.309045,40.083072"
116.258053,39.844492,63.0,"116.258053,39.844492"
116.536293,39.827442,152.2,"116.536293,39.827442"
116.342803,39.792081,67.1,"116.342803,39.792081"
116.506392,39.810563,88.9,"116.506392,39.810563"
