longitude,latitude,aver_price,latlon
121.244126,31.04927,52.3,"121.244126,31.04927"
121.5305678,31.23972158,186.7,"121.5305678,31.23972158"
121.446148,31.196172,202.9,"121.446148,31.196172"
121.5337602,31.24132805,121.2,"121.5337602,31.24132805"
121.25584,31.040236,78.6,"121.25584,31.040236"
121.258092,31.124545,48.1,"121.258092,31.124545"
121.532785,31.321813,90.6,"121.532785,31.321813"
121.503138,31.261887,84.3,"121.503138,31.261887"
121.503931,31.184457,123.3,"121.503931,31.184457"
121.429249,31.04223,33.7,"121.429249,31.04223"
121.388411,31.250634,75.2,"121.388411,31.250634"
121.199536,31.045804,69.8,"121.199536,31.045804"
121.362808,31.10631595,35.1,"121.362808,31.10631595"
121.456397,31.331925,59.0,"121.456397,31.331925"
121.46676,30.924719,25.8,"121.46676,30.924719"
121.370725,31.40726,33.6,"121.370725,31.40726"
121.504736,31.176752,114.3,"121.504736,31.176752"
121.4429739,31.24019708,156.0,"121.4429739,31.24019708"
121.4463817,31.14552894,51.3,"121.4463817,31.14552894"
121.485994,31.341862,58.8,"121.485994,31.341862"
121.445025,30.999746,19.4,"121.445025,30.999746"
121.749825,31.044906,26.1,"121.749825,31.044906"
121.382038,31.191666,91.7,"121.382038,31.191666"
121.678239,31.231371,80.6,"121.678239,31.231371"
121.4282266,31.24090706,105.0,"121.4282266,31.24090706"
121.259622,31.335988,45.6,"121.259622,31.335988"
121.297508,31.174697,82.0,"121.297508,31.174697"
121.589539,31.290138,67.5,"121.589539,31.290138"
121.332853,31.081889,51.0,"121.332853,31.081889"
121.678409,31.247214,65.3,"121.678409,31.247214"
121.394358,31.109125,70.2,"121.394358,31.109125"
121.514066,31.236233,145.7,"121.514066,31.236233"
121.415584,31.213265,139.7,"121.415584,31.213265"
121.198601,31.052462,44.4,"121.198601,31.052462"
121.492813,31.210359,90.4,"121.492813,31.210359"
121.40772,31.194389,204.5,"121.40772,31.194389"
121.240334,31.047132,65.6,"121.240334,31.047132"
121.031395,31.119975,11.6,"121.031395,31.119975"
121.514066,31.236233,213.6,"121.514066,31.236233"
121.59656,31.248526,114.3,"121.59656,31.248526"
121.488277,31.294785,89.1,"121.488277,31.294785"
121.539738,31.211494,122.7,"121.539738,31.211494"
121.464022,31.211802,129.3,"121.464022,31.211802"
121.199644,31.110319,48.3,"121.199644,31.110319"
121.547464,31.220335,128.4,"121.547464,31.220335"
121.350627,31.090662,19.6,"121.350627,31.090662"
121.448309,31.39149027,53.9,"121.448309,31.39149027"
121.211391,31.022959,41.1,"121.211391,31.022959"
121.387921,31.260099,70.6,"121.387921,31.260099"
121.3718551,31.14767802,71.4,"121.3718551,31.14767802"
121.3811297,31.25881044,56.8,"121.3811297,31.25881044"
121.399797,31.105832,62.0,"121.399797,31.105832"
121.460662,31.248414,242.1,"121.460662,31.248414"
121.520399,31.227414,158.3,"121.520399,31.227414"
121.391715,31.323636,82.4,"121.391715,31.323636"
121.472725,31.244763,126.1,"121.472725,31.244763"
121.500032,31.265312,101.4,"121.500032,31.265312"
121.2645469,31.38833148,37.6,"121.2645469,31.38833148"
121.490865,31.420327,63.7,"121.490865,31.420327"
121.52627,31.231159,134.5,"121.52627,31.231159"
121.384658,31.250248,69.6,"121.384658,31.250248"
121.574892,31.202997,78.0,"121.574892,31.202997"
121.3628836,30.74065458,22.6,"121.3628836,30.74065458"
121.537027,31.205372,143.7,"121.537027,31.205372"
121.31227,31.177007,125.9,"121.31227,31.177007"
121.428933,31.17756,134.3,"121.428933,31.17756"
121.570457,31.202218,76.0,"121.570457,31.202218"
121.597292,31.304624,96.2,"121.597292,31.304624"
121.2462989,31.34873307,58.9,"121.2462989,31.34873307"
121.366553,31.092297,55.0,"121.366553,31.092297"
121.541764,31.241526,83.8,"121.541764,31.241526"
121.481756,31.213694,119.9,"121.481756,31.213694"
121.494292,31.166274,81.2,"121.494292,31.166274"
121.459686,31.240443,148.5,"121.459686,31.240443"
121.415712,31.126556,72.7,"121.415712,31.126556"
121.388304,31.222777,131.3,"121.388304,31.222777"
121.513955,31.2881228,132.4,"121.513955,31.2881228"
121.2462989,31.34873307,66.0,"121.2462989,31.34873307"
121.451405,31.259226,78.3,"121.451405,31.259226"
121.569816,31.152398,50.0,"121.569816,31.152398"
121.2450289,31.11902956,43.8,"121.2450289,31.11902956"
121.5026077,31.1086371,77.7,"121.5026077,31.1086371"
121.180814,31.097088,28.8,"121.180814,31.097088"
121.5936763,31.1128345,47.1,"121.5936763,31.1128345"
121.760221,31.188013,33.3,"121.760221,31.188013"
121.424995,31.211294,224.5,"121.424995,31.211294"
121.596204,31.10383774,25.6,"121.596204,31.10383774"
121.535504,31.24320518,72.9,"121.535504,31.24320518"
121.629566,31.207076,72.9,"121.629566,31.207076"
121.3879643,31.10297352,64.2,"121.3879643,31.10297352"
121.383074,31.116283,55.4,"121.383074,31.116283"
121.542656,31.305005,75.0,"121.542656,31.305005"
121.694382,31.203289,38.1,"121.694382,31.203289"
121.498509,31.165334,92.7,"121.498509,31.165334"
121.3694236,31.22485231,128.2,"121.3694236,31.22485231"
121.714993,31.192621,44.1,"121.714993,31.192621"
121.440323,31.245287,117.4,"121.440323,31.245287"
121.459522,31.210131,173.9,"121.459522,31.210131"
121.6061953,31.27885008,112.9,"121.6061953,31.27885008"
121.3175491,31.24657189,64.9,"121.3175491,31.24657189"
121.2746879,31.12477498,55.7,"121.2746879,31.12477498"
121.3995363,31.21016064,125.0,"121.3995363,31.21016064"
121.432148,31.193303,107.1,"121.432148,31.193303"
121.620689,31.277683,78.9,"121.620689,31.277683"
121.570909,31.129638,37.1,"121.570909,31.129638"
121.180814,31.097088,22.5,"121.180814,31.097088"
121.4782629,31.25957717,116.7,"121.4782629,31.25957717"
121.3808393,31.13148269,45.5,"121.3808393,31.13148269"
121.487775,31.206441,133.3,"121.487775,31.206441"
121.439679,31.261627,93.5,"121.439679,31.261627"
121.08471,31.141584,66.7,"121.08471,31.141584"
121.380517,31.242484,87.0,"121.380517,31.242484"
121.3777342,31.19697902,113.2,"121.3777342,31.19697902"
121.530005,31.290749,86.5,"121.530005,31.290749"
121.410122,31.199759,139.3,"121.410122,31.199759"
121.414407,31.258636,108.1,"121.414407,31.258636"
121.54842438518,31.237858529952,95.2,"121.54842438518,31.237858529952"
121.5110409,31.26095035,66.1,"121.5110409,31.26095035"
121.447527,31.233262,150.0,"121.447527,31.233262"
121.5333359,31.2270147,137.3,"121.5333359,31.2270147"
121.427526,31.213132,103.8,"121.427526,31.213132"
121.369,31.400358,40.3,"121.369,31.400358"
121.449269,31.26434,116.7,"121.449269,31.26434"
121.475575,30.922886,30.4,"121.475575,30.922886"
121.510829,31.223559,146.1,"121.510829,31.223559"
121.2583694,31.39511794,43.5,"121.2583694,31.39511794"
121.4020971,31.2410343,76.4,"121.4020971,31.2410343"
121.74509,31.076153,12.7,"121.74509,31.076153"
121.187358,31.040323,20.7,"121.187358,31.040323"
121.21573,31.047458,40.6,"121.21573,31.047458"
121.230882,31.172394,67.5,"121.230882,31.172394"
121.085638,31.137912,43.5,"121.085638,31.137912"
121.411257,31.238856,87.8,"121.411257,31.238856"
121.375163,31.234064,92.5,"121.375163,31.234064"
121.547464,31.220335,147.1,"121.547464,31.220335"
121.539291,31.239189,99.3,"121.539291,31.239189"
121.2713501,31.3517821,51.1,"121.2713501,31.3517821"
121.390245,31.223884,150.0,"121.390245,31.223884"
121.48565,31.345913,84.1,"121.48565,31.345913"
121.240553,31.113077,51.3,"121.240553,31.113077"
121.368518,31.158899,70.8,"121.368518,31.158899"
121.5333359,31.2270147,141.0,"121.5333359,31.2270147"
121.6410064,31.20407395,72.7,"121.6410064,31.20407395"
121.365793,31.195948,97.4,"121.365793,31.195948"
121.442506,31.405518,33.3,"121.442506,31.405518"
121.4298131,31.18186825,128.6,"121.4298131,31.18186825"
121.3239396,31.25284993,66.7,"121.3239396,31.25284993"
121.4126279,31.31920939,58.8,"121.4126279,31.31920939"
121.3126498,31.31632075,38.1,"121.3126498,31.31632075"
121.4654966,31.31974878,83.3,"121.4654966,31.31974878"
121.6153405,31.18454176,126.3,"121.6153405,31.18454176"
121.456538,31.200456,119.0,"121.456538,31.200456"
121.4574548,31.2373644,144.4,"121.4574548,31.2373644"
121.236356,31.064969,52.7,"121.236356,31.064969"
121.712548,31.114024,17.2,"121.712548,31.114024"
121.491712,30.929942,46.9,"121.491712,30.929942"
121.471835,31.232529,161.1,"121.471835,31.232529"
121.478518,31.261412,100.9,"121.478518,31.261412"
121.6368981,31.18797707,58.4,"121.6368981,31.18797707"
121.40158,31.255035,77.7,"121.40158,31.255035"
121.53037,31.215439,147.6,"121.53037,31.215439"
121.0980648,31.17103271,34.8,"121.0980648,31.17103271"
121.760221,31.188013,32.0,"121.760221,31.188013"
121.4241778,31.1580873,103.8,"121.4241778,31.1580873"
121.360786,31.116617,51.1,"121.360786,31.116617"
121.373039,31.218652,86.7,"121.373039,31.218652"
121.466229,31.12562,81.4,"121.466229,31.12562"
121.3685868,31.09724125,80.7,"121.3685868,31.09724125"
121.4465152,31.17856637,84.1,"121.4465152,31.17856637"
121.3695544,31.21032018,78.2,"121.3695544,31.21032018"
121.4300044,31.24579602,89.1,"121.4300044,31.24579602"
121.7825326,31.06262954,35.6,"121.7825326,31.06262954"
121.3986429,31.24253857,105.5,"121.3986429,31.24253857"
