longitude,latitude,dist,latlon
116.340473,39.886963,西城,"116.340473,39.886963"
116.360104,39.963352,海淀,"116.360104,39.963352"
116.510441,39.931785,朝阳,"116.510441,39.931785"
116.38475,39.948346,西城,"116.38475,39.948346"
116.360608,40.036507,海淀,"116.360608,40.036507"
116.250662,39.910338,石景山,"116.250662,39.910338"
116.694847,39.921775,通州,"116.694847,39.921775"
116.338397,39.760335,大兴,"116.338397,39.760335"
116.492039,40.004922,朝阳,"116.492039,40.004922"
116.216106,39.907735,石景山,"116.216106,39.907735"
116.386362,40.083951,昌平,"116.386362,40.083951"
116.694847,39.921775,通州,"116.694847,39.921775"
116.383092,39.844419,丰台,"116.383092,39.844419"
116.477613,39.934452,朝阳,"116.477613,39.934452"
116.299198,39.838131,丰台,"116.299198,39.838131"
116.288381,39.824916,丰台,"116.288381,39.824916"
116.252716,40.069106,海淀,"116.252716,40.069106"
116.551758,39.964586,朝阳,"116.551758,39.964586"
116.305063,39.91533,海淀,"116.305063,39.91533"
116.45648,39.878722,朝阳,"116.45648,39.878722"
116.511954,39.920725,朝阳,"116.511954,39.920725"
116.276825,39.901458,丰台,"116.276825,39.901458"
116.481581,39.938271,朝阳,"116.481581,39.938271"
116.38894,39.968913,西城,"116.38894,39.968913"
116.4515,39.904606,朝阳,"116.4515,39.904606"
116.316658,39.98945,海淀,"116.316658,39.98945"
116.341153,39.734779,大兴,"116.341153,39.734779"
116.419162,40.031546,朝阳,"116.419162,40.031546"
116.296708,39.856361,丰台,"116.296708,39.856361"
116.67755,39.890698,通州,"116.67755,39.890698"
116.122491,39.939735,门头沟,"116.122491,39.939735"
116.330345,39.984336,海淀,"116.330345,39.984336"
116.378672,40.015247,朝阳,"116.378672,40.015247"
116.444565,39.853072,丰台,"116.444565,39.853072"
116.477581,39.953739,朝阳,"116.477581,39.953739"
116.15082,39.742294,房山,"116.15082,39.742294"
116.291708,39.844912,丰台,"116.291708,39.844912"
116.309045,40.083072,昌平,"116.309045,40.083072"
116.258053,39.844492,丰台,"116.258053,39.844492"
116.536293,39.827442,大兴,"116.536293,39.827442"
116.342803,39.792081,大兴,"116.342803,39.792081"
116.506392,39.810563,亦庄开发区,"116.506392,39.810563"
116.450853,39.911975,朝阳,"116.450853,39.911975"
116.64378,39.898048,通州,"116.64378,39.898048"
116.703234,39.911017,通州,"116.703234,39.911017"
116.34688,39.912912,西城,"116.34688,39.912912"
116.102869,39.949929,门头沟,"116.102869,39.949929"
116.372605,39.949564,西城,"116.372605,39.949564"
116.451767,39.779121,大兴,"116.451767,39.779121"
116.418876,39.968393,朝阳,"116.418876,39.968393"
116.529599,39.950025,朝阳,"116.529599,39.950025"
116.252087,39.91772,石景山,"116.252087,39.91772"
116.438146,39.928077,东城,"116.438146,39.928077"
116.357702,39.797657,大兴,"116.357702,39.797657"
116.360104,39.963352,海淀,"116.360104,39.963352"
116.366335,39.877194,西城,"116.366335,39.877194"
116.692994,39.910567,通州,"116.692994,39.910567"
116.356731,39.850714,丰台,"116.356731,39.850714"
116.511523,39.938707,朝阳,"116.511523,39.938707"
116.422505,39.989847,朝阳,"116.422505,39.989847"
116.154608,39.726495,房山,"116.154608,39.726495"
116.457526,39.8764,朝阳,"116.457526,39.8764"
116.259844,39.912414,海淀,"116.259844,39.912414"
116.425063,40.044097,朝阳,"116.425063,40.044097"
116.453723,39.88678,朝阳,"116.453723,39.88678"
116.31681,39.768231,大兴,"116.31681,39.768231"
116.455989,39.891295,朝阳,"116.455989,39.891295"
116.330117,39.73655,大兴,"116.330117,39.73655"
116.471813,39.999963,朝阳,"116.471813,39.999963"
116.508046,39.799319,亦庄开发区,"116.508046,39.799319"
116.333797,39.927927,海淀,"116.333797,39.927927"
116.476682,39.934282,朝阳,"116.476682,39.934282"
116.38894,39.968913,西城,"116.38894,39.968913"
116.66424,39.899598,通州,"116.66424,39.899598"
116.661329,39.956868,通州,"116.661329,39.956868"
116.408997,40.113334,昌平,"116.408997,40.113334"
116.459652,39.901899,朝阳,"116.459652,39.901899"
116.11415,39.891953,门头沟,"116.11415,39.891953"
116.335357,39.888221,西城,"116.335357,39.888221"
116.476665,39.996957,朝阳,"116.476665,39.996957"
116.437025,40.059329,朝阳,"116.437025,40.059329"
116.588913,39.922146,朝阳,"116.588913,39.922146"
116.286145,39.854863,丰台,"116.286145,39.854863"
116.594761,39.921447,朝阳,"116.594761,39.921447"
116.658082,39.92439,通州,"116.658082,39.92439"
116.374699,39.809437,丰台,"116.374699,39.809437"
116.377179,39.88737,西城,"116.377179,39.88737"
116.416806,40.065593,昌平,"116.416806,40.065593"
116.163745,39.755725,房山,"116.163745,39.755725"
116.424194,39.993993,朝阳,"116.424194,39.993993"
116.302492,39.893778,海淀,"116.302492,39.893778"
116.447271,40.048622,朝阳,"116.447271,40.048622"
116.167112,39.936388,石景山,"116.167112,39.936388"
116.439095,39.983437,朝阳,"116.439095,39.983437"
116.341356,39.759364,大兴,"116.341356,39.759364"
116.675771,39.903665,通州,"116.675771,39.903665"
116.671983,39.891343,通州,"116.671983,39.891343"
116.377339,39.983461,海淀,"116.377339,39.983461"
116.444943,39.926894,朝阳,"116.444943,39.926894"
116.432429,39.866533,朝阳,"116.432429,39.866533"
116.542892,39.749119,通州,"116.542892,39.749119"
116.444345,39.945375,朝阳,"116.444345,39.945375"
116.409266,40.003413,朝阳,"116.409266,40.003413"
116.382069,39.885767,西城,"116.382069,39.885767"
116.569545,39.910974,朝阳,"116.569545,39.910974"
116.372543,39.927054,西城,"116.372543,39.927054"
116.110451,39.890387,门头沟,"116.110451,39.890387"
116.117724,39.941152,门头沟,"116.117724,39.941152"
116.42537,40.052808,朝阳,"116.42537,40.052808"
116.444857,39.954789,朝阳,"116.444857,39.954789"
116.450152,39.910913,朝阳,"116.450152,39.910913"
116.703076,39.878396,通州,"116.703076,39.878396"
116.325341,39.781506,大兴,"116.325341,39.781506"
116.348379,39.898284,西城,"116.348379,39.898284"
116.70811,39.888054,通州,"116.70811,39.888054"
116.54955,40.124616,顺义,"116.54955,40.124616"
116.461519,39.961727,朝阳,"116.461519,39.961727"
116.491073,39.936639,朝阳,"116.491073,39.936639"
116.302604,39.923826,海淀,"116.302604,39.923826"
116.541069,40.099551,顺义,"116.541069,40.099551"
116.423214,40.051429,朝阳,"116.423214,40.051429"
116.374459,39.995227,海淀,"116.374459,39.995227"
116.665685,39.894058,通州,"116.665685,39.894058"
116.277933,39.894604,丰台,"116.277933,39.894604"
